Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
72831,2 BHK Ready to Occupy Flat for sale in RK Towers Begumpet,Discover this immaculate 2 BHK flat for sale at the pristine Begumpet in Hyderabad. This flat is situated within the renown township of Rk Towers. This flat for resale is the perfect property for you! This ready to move flat in Begumpet is available for a reasonable price of INR 60 Lac. It is semi-furnished to accommodate your needs.,60 Lac ,6383.0,hyderabad,900.0,Ready to Move,4.0,Resale,Semi-Furnished,North - West,,,2.0,1,,Freehold,,,
129085,4 BHK Ready to Occupy Flat for sale in Hamdam Apartment Dwarka Sector 18,"Up for immediate sale is a 4 BHK apartment in Dwarka Sector 18, New Delhi. Don't miss this bargain flat for sale. This flat is situated within the renown township of Hamdam Apartment. This flat for resale is a choice property. This ready to move flat in Dwarka Sector 18 can be taken at a very economical pricing of INR 2.68 Cr. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities. The flat is in close proximity to prominent landmarks like venkateshwar hospital.",2.68 Cr ,11167.0,new-delhi,2100.0,Ready to Move,8.0,Resale,Unfurnished,North - East,"Garden/Park, Main Road",Hamdam Apartment,3.0,4,"1 Covered,",Freehold,,,
58536,"2 BHK Ready to Occupy Flat for sale Ashok Vihar Phase 2, Delhi Gurgaon Expressway","Up for immediate sale is a 2 BHK apartment in Ashok Vihar Phase 2, Gurgaon. Don't miss this bargain flat for sale. This flat is an attractive property for resale. The ready to move flat in Ashok Vihar Phase 2 is all ready for sale at a low-priced budget of INR 26.5 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience.",26.5 Lac ,4907.0,gurgaon,600.0,Ready to Move,1.0,Resale,Unfurnished,,,,2.0,,,,,,
75133,4 BHK Ready to Occupy Flat for sale Kakatiya Hills Vasanth Nagar Colony,"This gorgeous 4 BHK Flat is available for sale in Kakatiya Hills, Hyderabad. This flat for sale is a choice property. This ready to move flat in Kakatiya Hills comes at an affordable price of INR 3.98 Cr. This leading project is ready for possession as of Jun '23. This flat is an ideal choice because it is an semi-furnished apartment with all basic amenities. oakridge school, yashoda hospitals, durgam cheruvu recreation park are some major landmarks near the apartment.",3.98 Cr ,11056.0,hyderabad,3600.0,Ready to Move,3.0,New Property,Semi-Furnished,North,Garden/Park,,4.0,1,2 Covered,Freehold,,,
140764,1 BHK Ready to Occupy Flat for sale Uttam Nagar West,"One can find this stunning 1 BHK flat for sale in Uttam Nagar West, New Delhi. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Uttam Nagar West can be taken at a very economical pricing of INR 18 Lac. The flat is available in furnished condition.",18 Lac ,18000.0,new-delhi,50.0,Ready to Move,1.0,Resale,Furnished,,,,1.0,1,,,,,
155674,4 BHK Ready to Occupy Flat for sale in Bptp Eden Estate Sector 81 Sector 81,"Up for immediate sale is a 4 BHK apartment in Sector 81, Faridabad. Don't miss this bargain flat for sale. This flat is placed in a marvellous location within the Bptp Eden Estate Sector 81 complex. This flat is an attractive property for sale. This ready to move flat in Sector 81 can be availed at a reasonable price of INR 1.39 Cr. This immaculate flat boasts of coming in semi-furnished form which takes the entire deal to the next level. The prime landmarks near this property are puri high street mall.",1.39 Cr ,5616.0,faridabad,2232.0,Ready to Move,1.0,New Property,Semi-Furnished,West,Main Road,Bptp Eden Estate Sector 81,3.0,2,1 Open,Freehold,,,
157672,3 BHK Ready to Occupy Flat for sale Sector 75,"3 BHK flat available for sale in Faridabad in the prime location of Sector 75. This flat is an attractive property for resale. Available at a reasonable selling price of INR 67 Lac, this ready to move apartment in Sector 75 is a great buy. It is a unfurnished apartment. The flat is easily approachable because it is near to world street mall.",67 Lac ,3941.0,faridabad,1700.0,Ready to Move,4.0,Resale,Unfurnished,North,"Garden/Park, Main Road",,3.0,3,,Freehold,,,
155898,2 BHK Ready to Occupy Flat for sale in Adore Happy Homes Sector 86,"Carefully laid out in the prime location of Sector 86 in Faridabad, this spacious 2 BHK flat on sale is a meticulously planned project. It enjoys an excellent location within the Adore Happy Homes. This is one of the best properties available for resale. This ready to move flat in Sector 86 can be availed at a reasonable price of INR 24.8 Lac. It is a unfurnished apartment. Prominent landmarks in and around this locality are accord hospital.",24.8 Lac ,3100.0,faridabad,600.0,Ready to Move,9.0,Resale,Unfurnished,North,Main Road,Adore Happy Homes,2.0,2,1 Covered,Freehold,,,
125278,2 BHK Ready to Occupy Flat for sale Pahar Ganj,"This gorgeous 2 BHK Flat is available for sale in Pahar Ganj, New Delhi. This flat for resale has a desirable location. This ready to move property in Pahar Ganj is readily available within an affordable cost of INR 51 Lac. The flat is sold in unfurnished condition.",51 Lac ,6667.0,new-delhi,675.0,Ready to Move,4.0,Resale,Unfurnished,East,,,2.0,,10 Open,Freehold,,,
116732,2 BHK Ready to Occupy Flat for sale Dwarka,"Dwarka, New Delhi has an attractive 2 BHK Flat for sale. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat is offered at an economical price of INR 1.25 Cr. It is unfurnished to accommodate your needs. Significant landmarks in its proximity are near to metro and market.",1.25 Cr ,10417.0,new-delhi,1100.0,Ready to Move,2.0,Resale,Unfurnished,East,Main Road,,2.0,2,,Freehold,,,
53578,3 BHK Ready to Occupy Flat for sale in DLF Skycourt Badha,"This lovely 3 BHK Flat in Badha, Gurgaon is up for sale. Ideally situated in the Dlf Skycourt township it enjoys a prime location. This apartment is a property of choice for resale. This ready to move property in Badha is readily available within an affordable cost of INR 1.55 Cr. Available in semi-furnished state, this flat is a great buy. st. xavier school , holliday inn are some of the key nearby landmarks.",1.55 Cr ,8031.0,gurgaon,1550.0,Ready to Move,5.0,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",DLF Skycourt,3.0,2,"1 Covered,",Freehold,,,
101113,1 BHK Ready to Occupy Flat for sale in Bengal Peerless Animikha Rajarhat,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.,23 Lac ,4792.0,kolkata,400.0,Ready to Move,3.0,Resale,Semi-Furnished,,,Bengal Peerless Animikha,1.0,1,,,,,
15288,2 BHK Ready to Occupy Flat for sale Judges Bunglow Road,"One can find this stunning 2 BHK flat for sale in Judges Bunglow Road, Ahmedabad. This apartment for resale is a great choice. This ready to move flat in Judges Bunglow Road can be availed at a reasonable price of INR 75 Lac. The flat is furnished and makes for an ideal choice for any family. judges bunglow opp pakwan tower are some of the well-known landmarks in this locality.",75 Lac ,6637.0,ahmedabad,875.0,Ready to Move,2.0,Resale,Furnished,East,Main Road,,2.0,2,1 Open,Freehold,,,
71288,2 BHK Ready to Occupy Flat for sale Hyderabad,"Have a look at this immaculate 2 BHK flat for sale in , Hyderabad. This is one of the best properties available for resale. This ready to move flat is offered at an economical price of INR 60 Lac. The flat is uniquely designed to enhance the living style. It is semi-furnished, studded with all the basic facilities.",60 Lac ,4688.0,hyderabad,1050.0,Ready to Move,5.0,Resale,Semi-Furnished,,,,2.0,2,,,,,
140023,3 BHK Ready to Occupy Flat for sale in Him Hit Sadbhavna Apartments Dwarka Sector 22,"This gorgeous 3 BHK Flat is available for sale in Dwarka Sector 22, New Delhi. Strategically situated in the Him Hit Sadbhavna Apartments site, it is placed at a prime location. This is one of the best properties available for resale. The ready to move flat in the prime area of Dwarka Sector 22 is available at a reasonable price of INR 1.89 Cr. The flat is sold in furnished condition. The property is strategically placed near prominent places as near sector 21 metro station which make for the smooth living of residents.",1.89 Cr ,10500.0,new-delhi,1500.0,Ready to Move,4.0,Resale,Furnished,East,"Garden/Park, Main Road",Him Hit Sadbhavna Apartments,3.0,3,2 Open,Freehold,,,
87580,3 BHK Ready to Occupy Flat for sale in Parth Residency 5 Mansarovar,"Mansarovar, Jaipur has an appealing 3 BHK flat for sale with various amenities. It is in a prime location within the Parth Residency 5. Your search ends here, because this flat for sale is among the best bargains in town. This ready to move flat in Mansarovar is available for a reasonable price of INR 57 Lac. This contemporary apartment is semi-furnished.",57 Lac ,4207.0,jaipur,1110.0,Ready to Move,1.0,New Property,Semi-Furnished,East,Main Road,Parth Residency 5,2.0,2,,Freehold,,,
